transport subsector share-weights,,,,,,,,,,,,,,,,,,,,,,,,,
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road_LDV_4W,Car,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,0.676222,0.561094,0.424765,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,0.382928,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,0.0286961,0.0316811,0.0358107,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,0.0350688,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_shipping_intl,International Ship,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_aviation_intl,International Aviation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight,Domestic Ship,8.79E-04,8.56E-05,1.75E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight,Freight Rail,7.19E-04,7.88E-04,0.00118891,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,0.00134233,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight_road,Heavy truck,0.198685,0.199932,0.203939,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,0.20492,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight_road,Light truck,0.122446,0.109419,0.108653,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,0.108478,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_freight_road,Medium truck,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,Cycle,0.0959535,0.0844667,0.0833226,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,0.0653312,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,Domestic Aviation,0.00242119,0.0019502,0.00122875,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,0.00169977,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,HSR,0,0,0,0,5.88E-05,1.18E-04,1.76E-04,2.35E-04,2.94E-04,3.53E-04,4.12E-04,4.71E-04,5.29E-04,5.88E-04,6.47E-04,7.06E-04,7.65E-04,8.24E-04,8.82E-04,9.41E-04,0.001,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,Passenger Rail,0.00278346,0.00469735,0.00412296,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,0.00408321,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,Walk,0.885379,0.778449,0.769064,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,0.602485,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road,Bus,1,2.4491,3.01206,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,2.62089,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road,LDV,0.34974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road_LDV,2W and 3W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road_LDV,4W,2.74735,1.5564,1.23526,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,1.54431,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road_LDV_4W,Car,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,0.67623,0.561153,0.424771,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,0.405333,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_pass_road_LDV_4W,Mini Car,0.0287013,0.0316866,0.0358082,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,0.0344088,none
"Ref,date=2022-19-4T07:20:42-07:00",SamutPrakan,trn_shipping_intl,International Ship,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
