# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Rest of Thailand,trn_freight_road,Light truck,BEV,2085,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2085,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2090,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2090,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2090,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2090,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2095,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2095,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2095,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2095,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2100,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2100,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2100,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2100,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Medium truck,BEV,1975,non-energy,0.9781,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,1975,non-energy,0.9781,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,1975,non-energy,0.9781,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,1975,non-energy,0.9781,CORE
Bangkok,trn_freight_road,Medium truck,BEV,1990,non-energy,0.9781,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,1990,non-energy,0.9781,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,1990,non-energy,0.9781,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,1990,non-energy,0.9781,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2005,non-energy,0.9781,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2005,non-energy,0.9781,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2005,non-energy,0.9781,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2005,non-energy,0.9781,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2010,non-energy,0.8796,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2010,non-energy,0.8796,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2010,non-energy,0.8796,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2010,non-energy,0.8796,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2015,non-energy,0.7811,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2015,non-energy,0.7811,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2015,non-energy,0.7811,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2015,non-energy,0.7811,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2020,non-energy,0.6984,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2020,non-energy,0.6984,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2020,non-energy,0.6984,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2020,non-energy,0.6984,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2025,non-energy,0.6564,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2025,non-energy,0.6564,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2025,non-energy,0.6564,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2025,non-energy,0.6564,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2030,non-energy,0.6144,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2030,non-energy,0.6144,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2030,non-energy,0.6144,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2030,non-energy,0.6144,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2035,non-energy,0.597,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2035,non-energy,0.597,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2035,non-energy,0.597,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2035,non-energy,0.597,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2040,non-energy,0.5796,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2040,non-energy,0.5796,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2040,non-energy,0.5796,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2040,non-energy,0.5796,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2045,non-energy,0.5694,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2045,non-energy,0.5694,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2045,non-energy,0.5694,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2045,non-energy,0.5694,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2050,non-energy,0.5592,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2050,non-energy,0.5592,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2050,non-energy,0.5592,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2050,non-energy,0.5592,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2055,non-energy,0.5587,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2055,non-energy,0.5587,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2055,non-energy,0.5587,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2055,non-energy,0.5587,CORE
