region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,1990,non-energy,1.1146,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2005,non-energy,0.6044,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2010,non-energy,0.5374,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2015,non-energy,0.4704,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2020,non-energy,0.4185,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,non-energy,0.4069,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2030,non-energy,0.3952,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2035,non-energy,0.396,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2040,non-energy,0.398,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2045,non-energy,0.4025,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2050,non-energy,0.4069,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2055,non-energy,0.4068,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2060,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2065,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2070,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2075,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2080,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2085,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2090,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2095,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2100,non-energy,0.4067,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,1975,non-energy,0.353,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,1990,non-energy,0.353,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2005,non-energy,0.1894,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2010,non-energy,0.1694,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2015,non-energy,0.1493,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2020,non-energy,0.1338,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2025,non-energy,0.1301,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2030,non-energy,0.1263,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2035,non-energy,0.1263,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2040,non-energy,0.1266,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2045,non-energy,0.1275,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2050,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2055,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2060,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2065,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2070,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2075,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2080,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2085,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2090,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2095,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,BEV,2100,non-energy,0.1285,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,1975,non-energy,1.1161,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,1990,non-energy,1.1161,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2005,non-energy,0.42,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2010,non-energy,0.4223,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2015,non-energy,0.4247,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2020,non-energy,0.4263,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2025,non-energy,0.3973,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2030,non-energy,0.3786,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2035,non-energy,0.3604,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2040,non-energy,0.3475,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2045,non-energy,0.3376,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2050,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2055,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2060,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2065,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2070,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2075,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2080,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2085,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2090,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2095,non-energy,0.3304,CORE
Thailand,trn_pass_road_LDV_4W,Car,FCEV,2100,non-energy,0.3304,CORE
